RCP_PARTS_DTLS,RCP_NM,RCP_WAY2,LOW_NA,HIGH_PRO,VEGAN,DIETS,new_train
낙지      가지      오이     표고버섯      당근      미나리      홍고추       설탕      식초      물       사과      간장     고춧가루     깨   ,낙지모듬초말이,기타,1,1,1,1,"['낙지', '가지', '오이', '표고버섯', '당근', '미나리', '홍고추', '설탕', '식초', '사과', '간장', '고춧가루', '깨']"
 반죽재료  쌀가루       우유      물       르뱅 발효종       달걀      개   소금     올리브유      양파      당근      먹물 가루       속재료  토마토       양파       피망      마늘      닭가슴살       오레가노     바질가루     월계수잎     후추     소금    고추    고춧가루   모짜렐라 치즈    ,삼각김밥 빵,기타,1,0,0,1,"['반죽재료', '쌀가루', '우유', '르뱅', '발효종', '달걀', '올리브유', '양파', '당근', '먹물', '속재료', '토마토', '양파', '피망', '마늘', '닭가슴살', '오레가노', '바질가루', '월계수잎', '후추', '고추', '고춧가루', '모짜렐라', '치즈']"
불린 병아리콩        바나나   개   무가당 코코아 파우더      다크초콜릿       아몬드가루       달걀노른자  개   우유        식용유        아몬드 슬라이스      병아리콩 삶은 물        무가당 휘핑크림       올리고당       바나나  개 ,병아리콩 컵케이크,기타,1,0,1,0,"['병아리콩', '바나나', '무가당', '코코아', '파우더', '다크초콜릿', '아몬드가루', '달걀노른자', '우유', '식용유', '아몬드', '슬라이스', '병아리콩', '삶은', '무가당', '휘핑크림', '올리고당', '바나나']"
   인분   마늘  쪽   토마토  개   양파  개   월계수잎  장   육수용 멸치  컵   다시마         장 ,양파토마토스튜,끓이기,1,0,1,1,"['마늘', '토마토', '양파', '월계수잎', '육수용', '멸치', '다시마']"
   인분   황금팽이버섯        양파  개   상추  장   깻잎  장   오이  개   천도복숭아  개   새우살  컵   게살  컵   고춧가루       물       현미식초         저염 간장         다진 마늘         참기름         참깨       ,황금팽이 비빔국수,기타,1,1,1,1,"['황금팽이버섯', '양파', '상추', '깻잎', '오이', '천도복숭아', '새우살', '게살', '고춧가루', '현미식초', '저염', '간장', '마늘', '참기름', '참깨']"
   인분   미역 줄기  팩        양파  개   맛살        건새우  컵   부침가루  컵   튀김가루  컵   탄산수  컵   아보카도유     ,맛살 미역줄기전,굽기,1,0,1,1,"['미역', '팩', '양파', '맛살', '건새우', '부침가루', '튀김가루', '탄산수', '아보카도유']"
   인분   새송이버섯  개   방울토마토        오징어  마리   칵테일새우        후춧가루 약간   다진 마늘       올리브유       레몬즙       후춧가루 약간   미나리       깻잎  장   마늘  쪽   올리브유         체더치즈         아몬드  개 ,해산물샐러드와 미나리소스,기타,1,1,1,1,"['새송이버섯', '방울토마토', '오징어', '칵테일새우', '후춧가루', '마늘', '올리브유', '레몬즙', '후춧가루', '미나리', '깻잎', '마늘', '올리브유', '체더치즈', '아몬드']"
   인분   토마토  개   양파  개   감자  개   노랑 파프리카  개   브로콜리  개   새우  마리  고추기름       후춧가루         다진 마늘         플레인 요거트  컵   고추장       ,매운요거트 토마토샐러드,기타,1,1,1,1,"['토마토', '양파', '감자', '노랑', '파프리카', '브로콜리', '새우', '고추기름', '후춧가루', '마늘', '플레인', '요거트', '고추장']"
  주재료   연근  개         부재료   식초       유자청 시럽       소금      물       비트       레몬    개,연근 피클,기타,0,0,1,1,"['연근', '식초', '유자청', '시럽', '비트', '레몬']"
  주재료   연근  개   부재료   양파  개  깻잎      청고추  개  밀가루      달걀  개   소금     단호박       비트      식용류 적당량,연근 삼색전,굽기,0,0,1,0,"['연근', '양파', '깻잎', '청고추', '밀가루', '달걀', '단호박', '비트', '식용류']"
  주재료   연근  개  연잎  장  불린 찹쌀  컵   부재료   불린 찰흑미    컵  불린 차조    컵  밤  개  은행   개   대추   개  호두      불린 서리태      소금     ,연근연잎밥,찌기,0,0,1,0,"['연근', '연잎', '찹쌀', '찰흑미', '차조', '밤', '은행', '대추', '호두', '서리태']"
  주재료   늙은 호박       갑오징어        부재료   쌀가루      밀가루       물       달걀  개  소금       청고추    개  홍고추    개  다진 깻잎    ,늙은 호박전,굽기,0,1,1,1,"['늙은', '호박', '갑오징어', '쌀가루', '밀가루', '달걀', '청고추', '홍고추', '깻잎']"
  재 료   애호박고지       부재료   당근      양파      소고기       데친느타리버섯       당면      간장  큰술  다진 파      다진 마늘       참기름 약간  후추 약간,호박고지잡채,볶기,0,0,0,1,"['애호박고지', '당근', '양파', '소고기', '데친느타리버섯', '당면', '간장', '파', '마늘', '참기름', '후추']"
  주재료  단호박  개   부재료  닭다리  개  밤  개  양파       당근      대추  개  은행   개  양송이  개  잣  큰술  호두 반태   조각   양념장  간장      설탕     다진마늘     다진파      참기름      깨소금      후춧가루 약간 ,단호박 영양닭찜,찌기,0,1,0,0,"['단호박', '닭다리', '밤', '양파', '당근', '대추', '은행', '양송이', '잣', '호두', '반태', '조각', '간장', '설탕', '다진마늘', '다진파', '참기름', '깨소금', '후춧가루']"
  주재료   단감  개  튀김가루  큰술  식용유   부재료   튀김옷 튀김가루       다진 깻잎      계란 흰자  개   얼음물     ,단감 튀김,튀기기,0,0,1,1,"['단감', '튀김가루', '식용유', '튀김옷', '튀김가루', '깻잎', '계란', '흰자', '얼음물']"
  주재료  홍시  개  곶감  개   부재료  죽순       양파       애호박      가지       홍 노랑  파프리카    개  식초      설탕      유자청      소금약간,홍시소스 & 구운채소샐러드,기타,0,0,1,1,"['홍시', '곶감', '죽순', '양파', '애호박', '가지', '홍', '노랑', '파프리카', '식초', '설탕', '유자청', '소금약간']"
  주재료  홍시       찹쌀가루        부재료  꿀      잣가루       소금     설탕    ,홍시 찰떡,찌기,0,0,1,0,"['홍시', '찹쌀가루', '꿀', '잣가루', '설탕']"
  주재료  무        부재료  설탕       식초       소금       샐러드소스  흑임자가루      설탕      식초      매실청       참기름      잣    ,무채흑임자 샐러드,기타,0,0,1,1,"['무', '설탕', '식초', '샐러드소스', '흑임자가루', '설탕', '식초', '매실청', '참기름', '잣']"
  주재료  무        부재료  양배추       마늘      생강      까나리액젓      소금       설탕       식초       비트    ,무켜피클,기타,0,0,1,1,"['무', '양배추', '마늘', '생강', '까나리액젓', '설탕', '식초', '비트']"
  주재료   무        부재료   소고기       당근       건표고버섯  개  황백지단       마늘  쪽  석이버섯  장  간장      설탕      다진파      참기름       깨소금      실고추 약간  소금 약간,무 선,찌기,0,1,0,1,"['무', '소고기', '당근', '건표고버섯', '황백지단', '마늘', '석이버섯', '간장', '설탕', '다진파', '참기름', '깨소금', '실고추']"
  주재료   무        부재료   소고기       대파      다진마늘      다시마      소금        국간장     표고버섯      청고추      홍고추    ,무맑은탕,끓이기,0,1,0,1,"['무', '소고기', '대파', '다진마늘', '다시마', '국간장', '표고버섯', '청고추', '홍고추']"
  주재료   배추잎  장   부재료   소고기      당근      홍고추  개  양파  개  간장       설탕      참기름      다진마늘     다진파      후추약간  느타리버섯       소금     연겨자      식초      물    ,배추채나물,찌기,0,0,0,1,"['배추잎', '소고기', '당근', '홍고추', '양파', '간장', '설탕', '참기름', '다진마늘', '다진파', '후추약간', '느타리버섯', '연겨자', '식초']"
  주재료   배추잎   장   부재료   닭가슴살       양파  개  당근      느타리버섯       두부        청고추  개  홍고추  개  다진파      다진마늘      다진생강      소금      참기름      깨      후춧가루 약간   육수 모시조개    모시조개     물        편마늘      실파,배추말이 전골,끓이기,0,1,0,0,"['배추잎', '닭가슴살', '양파', '당근', '느타리버섯', '두부', '청고추', '홍고추', '다진파', '다진마늘', '다진생강', '참기름', '깨', '후춧가루', '육수', '모시조개', '모시조개', '편마늘', '실파']"
  주재료   배추잎  장   부재료   돼지고기 다진육        양파      숙주       당근       애호박       생강      설탕      다진파      다진마늘      밀가루        간장      뽕잎가루     당근즙     식용유 약간  참기름 약간,배추속만두,찌기,0,0,0,0,"['배추잎', '돼지고기', '다진육', '양파', '숙주', '당근', '애호박', '생강', '설탕', '다진파', '다진마늘', '밀가루', '간장', '뽕잎가루', '당근즙', '식용유', '참기름']"
  무 주재료  쌀        부재료  장어       편생강      편마늘      구운장어뼈       양념  간장      다진파      다진마늘      참기름      고춧가루  약간 ,장어밥,굽기,0,0,1,0,"['무', '쌀', '장어', '편생강', '편마늘', '구운장어뼈', '간장', '다진파', '다진마늘', '참기름', '고춧가루']"
  주재료   멥쌀가루        부재료   당근      양파      감자      버터      소금      설탕       피자치즈      핫소스      마요네즈      식용유약간 ,채소쌀케익,굽기,0,0,1,0,"['멥쌀가루', '당근', '양파', '감자', '버터', '설탕', '피자치즈', '핫소스', '마요네즈', '식용유약간']"
  주재료   팥       청포묵 가루      소금 약간   양념장   간장      고춧가루     설탕     물      다진파      다진마늘     참기름     통깨  작은술,팥 묵,찌기,0,0,1,1,"['팥', '청포묵', '간장', '고춧가루', '설탕', '다진파', '다진마늘', '참기름', '통깨']"
  주재료   팥       찰수수       찹쌀가루       부재료   설탕  소금 약간,수수알 팥죽,끓이기,0,0,1,0,"['팥', '찰수수', '찹쌀가루', '설탕']"
  주재료   팥       찹쌀        부재료   닭가슴살       당근      양파       브로콜리       소금       설탕      다시마      생강      마늘    ,영양찰밥 품은 팥,찌기,0,0,0,0,"['팥', '찹쌀', '닭가슴살', '당근', '양파', '브로콜리', '설탕', '다시마', '생강', '마늘']"
  주재료   고구마  개  무  개   부재료   간장       조청       까나리액젓      찹쌀죽       양파즙      다진마늘      생강      건고추       고추가루        매실액기스      새우젓      청 홍고추      소금     ,고구마 김치,기타,0,0,1,1,"['고구마', '무', '간장', '조청', '까나리액젓', '찹쌀죽', '양파즙', '다진마늘', '생강', '건고추', '고추가루', '매실액기스', '새우젓', '청', '홍고추']"
